id,usuario_id,serie_id,texto,puntuacion,fecha,etiquetas,util
res_0050,usr_0408,ser_1665,Reseña número 50. Investigación criminal que pone a prueba los límites de la justicia.,9,2022-07-30,recomendada,117
res_0051,usr_0642,ser_2235,Reseña número 51. Misterio y suspenso se entrelazan en esta serie cautivadora.,7,2022-08-11,decepcionante|joya oculta|recomendada,186
res_0052,usr_0056,ser_0415,Reseña número 52. Acción sin tregua en una aventura llena de giros inesperados.,5,2023-10-29,apta para todos|sobrevalorada,78
res_0053,usr_0379,ser_1799,Reseña número 53. Una mirada profunda a la condición humana en tiempos difíciles.,2,2022-11-14,sobrevalorada|solo adultos,55
res_0054,usr_0131,ser_1808,Reseña número 54. Acción sin tregua en una aventura llena de giros inesperados.,10,2024-10-22,apta para todos|imprescindible,394
res_0055,usr_0166,ser_2393,Reseña número 55. Comedia que retrata la vida cotidiana con humor inteligente.,8,2025-04-11,solo adultos|decepcionante,186
res_0056,usr_0039,ser_2275,Reseña número 56. Una historia épica que cambia el destino de los protagonistas para siempre.,10,2024-11-01,solo adultos|recomendada|sobrevalorada,462
res_0057,usr_0238,ser_2671,Reseña número 57. Una mirada profunda a la condición humana en tiempos difíciles.,2,2023-11-21,imprescindible|sobrevalorada,18
res_0058,usr_0285,ser_0707,Reseña número 58. Acción sin tregua en una aventura llena de giros inesperados.,2,2023-06-27,solo adultos|recomendada,459
res_0059,usr_0428,ser_1364,Reseña número 59. Una historia épica que cambia el destino de los protagonistas para siempre.,5,2023-06-22,clásico moderno,94
res_0060,usr_0441,ser_1071,Reseña número 60. Misterio y suspenso se entrelazan en esta serie cautivadora.,6,2024-10-21,decepcionante|joya oculta|sobrevalorada,378
res_0061,usr_0611,ser_1171,Reseña número 61. Comedia que retrata la vida cotidiana con humor inteligente.,5,2022-06-26,imprescindible|apta para todos|solo adultos,477
res_0062,usr_0748,ser_1897,Reseña número 62. Investigación criminal que pone a prueba los límites de la justicia.,1,2023-06-05,solo adultos|apta para todos|sobrevalorada,69
res_0063,usr_0022,ser_2470,Reseña número 63. Una mirada profunda a la condición humana en tiempos difíciles.,9,2023-01-29,sobrevalorada|joya oculta,200
res_0064,usr_0334,ser_0675,Reseña número 64. Misterio y suspenso se entrelazan en esta serie cautivadora.,3,2024-08-31,apta para todos|recomendada|clásico moderno,410
res_0065,usr_0498,ser_1153,"Reseña número 65. En un mundo donde las reglas se rompen, surgen héroes inesperados.",5,2024-06-13,joya oculta|recomendada,407
res_0066,usr_0175,ser_1784,"Reseña número 66. En un mundo donde las reglas se rompen, surgen héroes inesperados.",4,2023-12-23,joya oculta,79
res_0067,usr_0334,ser_1447,Reseña número 67. Comedia que retrata la vida cotidiana con humor inteligente.,7,2022-06-26,sobrevalorada|imprescindible|solo adultos,368
res_0068,usr_0157,ser_0362,Reseña número 68. Una mirada profunda a la condición humana en tiempos difíciles.,9,2023-06-08,clásico moderno,176
res_0069,usr_0075,ser_0037,Reseña número 69. Una saga familiar que recorre generaciones y secretos.,6,2023-07-14,clásico moderno,395
res_0070,usr_0145,ser_1972,Reseña número 70. Comedia que retrata la vida cotidiana con humor inteligente.,1,2024-01-24,recomendada|joya oculta,463
res_0071,usr_0281,ser_2652,Reseña número 71. Investigación criminal que pone a prueba los límites de la justicia.,3,2022-01-28,decepcionante|sobrevalorada,36
res_0072,usr_0155,ser_1603,Reseña número 72. Una mirada profunda a la condición humana en tiempos difíciles.,4,2023-09-21,decepcionante,336
res_0073,usr_0634,ser_0868,Reseña número 73. Romance que desafía las convenciones sociales de la época.,9,2022-08-04,sobrevalorada|imprescindible|solo adultos,240
res_0074,usr_0163,ser_1849,Reseña número 74. Una mirada profunda a la condición humana en tiempos difíciles.,4,2022-11-13,decepcionante|sobrevalorada,228
res_0075,usr_0739,ser_1760,Reseña número 75. Romance que desafía las convenciones sociales de la época.,5,2024-06-08,clásico moderno|joya oculta|apta para todos,440
res_0076,usr_0127,ser_2379,Reseña número 76. Misterio y suspenso se entrelazan en esta serie cautivadora.,7,2025-01-05,solo adultos|apta para todos,150
res_0077,usr_0598,ser_2810,"Reseña número 77. Drama intenso sobre familia, lealtad y traición.",10,2023-08-16,sobrevalorada|apta para todos,37
res_0078,usr_0207,ser_1709,Reseña número 78. Romance que desafía las convenciones sociales de la época.,6,2024-10-10,apta para todos,209
res_0079,usr_0517,ser_1068,Reseña número 79. Una saga familiar que recorre generaciones y secretos.,1,2023-11-08,apta para todos,332
res_0080,usr_0433,ser_1799,Reseña número 80. Investigación criminal que pone a prueba los límites de la justicia.,4,2023-01-18,sobrevalorada,38
res_0081,usr_0407,ser_0506,Reseña número 81. Una mirada profunda a la condición humana en tiempos difíciles.,2,2024-09-17,recomendada|decepcionante,124
res_0082,usr_0310,ser_0169,Reseña número 82. Una mirada profunda a la condición humana en tiempos difíciles.,9,2024-12-29,sobrevalorada,102
res_0083,usr_0105,ser_2680,Reseña número 83. Comedia que retrata la vida cotidiana con humor inteligente.,2,2024-11-14,imprescindible,203
res_0084,usr_0413,ser_1146,Reseña número 84. Investigación criminal que pone a prueba los límites de la justicia.,1,2022-11-19,apta para todos,69
res_0085,usr_0551,ser_0239,"Reseña número 85. En un mundo donde las reglas se rompen, surgen héroes inesperados.",10,2023-03-31,clásico moderno|imprescindible|recomendada,56
res_0086,usr_0363,ser_1131,Reseña número 86. Una mirada profunda a la condición humana en tiempos difíciles.,10,2024-09-18,imprescindible|decepcionante|sobrevalorada,125
res_0087,usr_0267,ser_0355,Reseña número 87. Comedia que retrata la vida cotidiana con humor inteligente.,10,2022-06-22,apta para todos,396
res_0088,usr_0437,ser_0051,Reseña número 88. Investigación criminal que pone a prueba los límites de la justicia.,7,2023-01-11,apta para todos,180
res_0089,usr_0062,ser_1187,Reseña número 89. Acción sin tregua en una aventura llena de giros inesperados.,1,2022-10-17,decepcionante|apta para todos,73
res_0090,usr_0319,ser_2026,Reseña número 90. Investigación criminal que pone a prueba los límites de la justicia.,10,2022-09-27,clásico moderno,53
res_0091,usr_0654,ser_2254,"Reseña número 91. Drama intenso sobre familia, lealtad y traición.",7,2022-07-23,clásico moderno,22
res_0092,usr_0426,ser_0514,"Reseña número 92. En un mundo donde las reglas se rompen, surgen héroes inesperados.",1,2024-12-20,recomendada|solo adultos,165
res_0093,usr_0492,ser_2514,Reseña número 93. Una saga familiar que recorre generaciones y secretos.,8,2022-02-06,decepcionante|clásico moderno,314
res_0094,usr_0537,ser_0264,Reseña número 94. Una historia épica que cambia el destino de los protagonistas para siempre.,10,2024-09-05,clásico moderno|imprescindible|sobrevalorada,271
res_0095,usr_0406,ser_1714,Reseña número 95. Comedia que retrata la vida cotidiana con humor inteligente.,1,2024-12-28,apta para todos,282
res_0096,usr_0096,ser_1603,Reseña número 96. Investigación criminal que pone a prueba los límites de la justicia.,3,2022-08-21,recomendada|sobrevalorada,488
res_0097,usr_0232,ser_1930,Reseña número 97. Una mirada profunda a la condición humana en tiempos difíciles.,1,2024-12-12,solo adultos|recomendada|decepcionante,386
res_0098,usr_0203,ser_2370,Reseña número 98. Una historia épica que cambia el destino de los protagonistas para siempre.,4,2022-01-21,decepcionante|recomendada|apta para todos,174
res_0099,usr_0757,ser_2724,Reseña número 99. Acción sin tregua en una aventura llena de giros inesperados.,3,2024-03-25,solo adultos,3
res_0100,usr_0648,ser_0727,Reseña número 100. Misterio y suspenso se entrelazan en esta serie cautivadora.,8,2023-08-08,clásico moderno|solo adultos|sobrevalorada,319
res_0101,usr_0536,ser_2934,Reseña número 101. Investigación criminal que pone a prueba los límites de la justicia.,9,2022-12-18,sobrevalorada,86
res_0102,usr_0473,ser_0936,Reseña número 102. Investigación criminal que pone a prueba los límites de la justicia.,2,2023-11-08,decepcionante,305
res_0103,usr_0213,ser_0709,"Reseña número 103. Drama intenso sobre familia, lealtad y traición.",10,2024-07-17,decepcionante|apta para todos|solo adultos,131
res_0104,usr_0039,ser_0460,Reseña número 104. Misterio y suspenso se entrelazan en esta serie cautivadora.,10,2023-05-25,joya oculta|sobrevalorada|decepcionante,149
res_0105,usr_0241,ser_2626,"Reseña número 105. En un mundo donde las reglas se rompen, surgen héroes inesperados.",9,2025-01-04,joya oculta|decepcionante,307
res_0106,usr_0275,ser_1862,Reseña número 106. Investigación criminal que pone a prueba los límites de la justicia.,1,2022-04-28,decepcionante|clásico moderno,138
res_0107,usr_0772,ser_1756,Reseña número 107. Una mirada profunda a la condición humana en tiempos difíciles.,7,2024-04-21,sobrevalorada|solo adultos|decepcionante,184
res_0108,usr_0654,ser_2661,Reseña número 108. Comedia que retrata la vida cotidiana con humor inteligente.,1,2023-07-28,sobrevalorada|joya oculta,252
res_0109,usr_0370,ser_0159,Reseña número 109. Una historia épica que cambia el destino de los protagonistas para siempre.,8,2024-08-09,recomendada,374
res_0110,usr_0193,ser_0474,Reseña número 110. Romance que desafía las convenciones sociales de la época.,3,2022-07-14,imprescindible|apta para todos|solo adultos,392
res_0111,usr_0372,ser_2407,Reseña número 111. Investigación criminal que pone a prueba los límites de la justicia.,1,2023-08-03,sobrevalorada,121
res_0112,usr_0113,ser_1536,Reseña número 112. Acción sin tregua en una aventura llena de giros inesperados.,10,2024-05-11,recomendada|solo adultos,24
res_0113,usr_0086,ser_1280,Reseña número 113. Acción sin tregua en una aventura llena de giros inesperados.,1,2022-07-05,sobrevalorada|imprescindible|decepcionante,95
res_0114,usr_0008,ser_1781,"Reseña número 114. Drama intenso sobre familia, lealtad y traición.",3,2024-02-24,sobrevalorada,39
res_0115,usr_0398,ser_1132,"Reseña número 115. Drama intenso sobre familia, lealtad y traición.",7,2024-03-27,sobrevalorada,59
res_0116,usr_0389,ser_0388,Reseña número 116. Misterio y suspenso se entrelazan en esta serie cautivadora.,1,2025-01-30,sobrevalorada,53
res_0117,usr_0008,ser_0262,Reseña número 117. Romance que desafía las convenciones sociales de la época.,2,2024-07-08,joya oculta,162
res_0118,usr_0477,ser_1025,Reseña número 118. Una historia épica que cambia el destino de los protagonistas para siempre.,6,2022-08-14,clásico moderno|recomendada|joya oculta,37
res_0119,usr_0613,ser_2908,Reseña número 119. Una historia épica que cambia el destino de los protagonistas para siempre.,1,2023-11-13,solo adultos|apta para todos,414
res_0120,usr_0239,ser_2612,Reseña número 120. Comedia que retrata la vida cotidiana con humor inteligente.,3,2024-05-04,clásico moderno,306
res_0121,usr_0378,ser_0357,Reseña número 121. Romance que desafía las convenciones sociales de la época.,7,2023-05-04,decepcionante|solo adultos,56
res_0122,usr_0246,ser_2672,Reseña número 122. Una historia épica que cambia el destino de los protagonistas para siempre.,3,2023-01-16,apta para todos|sobrevalorada|recomendada,27
res_0123,usr_0407,ser_1697,Reseña número 123. Comedia que retrata la vida cotidiana con humor inteligente.,7,2022-02-14,joya oculta,297
res_0124,usr_0172,ser_0792,Reseña número 124. Comedia que retrata la vida cotidiana con humor inteligente.,8,2024-06-20,joya oculta|recomendada,340
res_0125,usr_0309,ser_2376,Reseña número 125. Una historia épica que cambia el destino de los protagonistas para siempre.,6,2024-08-22,solo adultos,172
res_0126,usr_0197,ser_0620,"Reseña número 126. Drama intenso sobre familia, lealtad y traición.",8,2024-10-07,clásico moderno|imprescindible|sobrevalorada,62
res_0127,usr_0324,ser_2159,Reseña número 127. Romance que desafía las convenciones sociales de la época.,9,2024-12-09,imprescindible|sobrevalorada|clásico moderno,283
res_0128,usr_0256,ser_0405,Reseña número 128. Romance que desafía las convenciones sociales de la época.,2,2023-10-12,imprescindible,34
res_0129,usr_0265,ser_0666,Reseña número 129. Misterio y suspenso se entrelazan en esta serie cautivadora.,2,2022-11-18,joya oculta|decepcionante,454
res_0130,usr_0313,ser_1706,Reseña número 130. Romance que desafía las convenciones sociales de la época.,4,2022-06-02,sobrevalorada|solo adultos|recomendada,472
res_0131,usr_0759,ser_1925,Reseña número 131. Misterio y suspenso se entrelazan en esta serie cautivadora.,2,2025-03-20,apta para todos,205
res_0132,usr_0612,ser_1316,Reseña número 132. Misterio y suspenso se entrelazan en esta serie cautivadora.,6,2022-04-20,clásico moderno|sobrevalorada|solo adultos,416
res_0133,usr_0006,ser_0787,Reseña número 133. Misterio y suspenso se entrelazan en esta serie cautivadora.,1,2022-09-08,imprescindible|sobrevalorada|apta para todos,452
res_0134,usr_0092,ser_1891,Reseña número 134. Una historia épica que cambia el destino de los protagonistas para siempre.,7,2022-08-02,recomendada,58
res_0135,usr_0107,ser_2753,"Reseña número 135. Drama intenso sobre familia, lealtad y traición.",8,2023-03-13,sobrevalorada|apta para todos|recomendada,340
res_0136,usr_0535,ser_2587,"Reseña número 136. En un mundo donde las reglas se rompen, surgen héroes inesperados.",8,2022-11-29,sobrevalorada,493
res_0137,usr_0326,ser_1926,Reseña número 137. Una saga familiar que recorre generaciones y secretos.,7,2024-01-03,joya oculta|recomendada,15
res_0138,usr_0066,ser_2334,"Reseña número 138. En un mundo donde las reglas se rompen, surgen héroes inesperados.",6,2023-08-19,apta para todos,370
res_0139,usr_0059,ser_2907,Reseña número 139. Romance que desafía las convenciones sociales de la época.,9,2022-11-01,imprescindible|recomendada,215
res_0140,usr_0287,ser_0843,Reseña número 140. Misterio y suspenso se entrelazan en esta serie cautivadora.,3,2023-09-13,imprescindible|apta para todos|recomendada,129
res_0141,usr_0485,ser_1299,Reseña número 141. Misterio y suspenso se entrelazan en esta serie cautivadora.,7,2024-06-12,joya oculta,465
res_0142,usr_0771,ser_2164,"Reseña número 142. Drama intenso sobre familia, lealtad y traición.",3,2023-04-14,apta para todos,458
res_0143,usr_0301,ser_0518,"Reseña número 143. En un mundo donde las reglas se rompen, surgen héroes inesperados.",2,2024-05-15,joya oculta|sobrevalorada|recomendada,114
res_0144,usr_0531,ser_2448,Reseña número 144. Comedia que retrata la vida cotidiana con humor inteligente.,2,2023-11-24,decepcionante|imprescindible|solo adultos,470
res_0145,usr_0706,ser_1731,Reseña número 145. Acción sin tregua en una aventura llena de giros inesperados.,6,2022-10-28,solo adultos,146
res_0146,usr_0435,ser_1054,Reseña número 146. Comedia que retrata la vida cotidiana con humor inteligente.,4,2023-04-24,apta para todos,385
res_0147,usr_0277,ser_2378,Reseña número 147. Comedia que retrata la vida cotidiana con humor inteligente.,1,2024-05-30,clásico moderno,330
res_0148,usr_0295,ser_0424,"Reseña número 148. En un mundo donde las reglas se rompen, surgen héroes inesperados.",4,2024-09-01,imprescindible|solo adultos|clásico moderno,345
res_0149,usr_0298,ser_2625,Reseña número 149. Acción sin tregua en una aventura llena de giros inesperados.,4,2022-08-04,recomendada|sobrevalorada|joya oculta,306
res_0150,usr_0701,ser_0187,Reseña número 150. Romance que desafía las convenciones sociales de la época.,9,2024-05-27,clásico moderno|sobrevalorada|solo adultos,192
res_0151,usr_0055,ser_0457,Reseña número 151. Investigación criminal que pone a prueba los límites de la justicia.,9,2023-04-11,joya oculta,54
res_0152,usr_0713,ser_2760,Reseña número 152. Comedia que retrata la vida cotidiana con humor inteligente.,5,2023-08-04,joya oculta|apta para todos,255
res_0153,usr_0247,ser_0976,Reseña número 153. Misterio y suspenso se entrelazan en esta serie cautivadora.,4,2024-01-31,solo adultos|imprescindible|sobrevalorada,388
res_0154,usr_0618,ser_1958,Reseña número 154. Una historia épica que cambia el destino de los protagonistas para siempre.,2,2024-05-23,clásico moderno|imprescindible|decepcionante,428
res_0155,usr_0248,ser_0314,Reseña número 155. Romance que desafía las convenciones sociales de la época.,6,2022-04-10,recomendada|apta para todos,288
res_0156,usr_0220,ser_1941,Reseña número 156. Una historia épica que cambia el destino de los protagonistas para siempre.,2,2022-08-25,clásico moderno|joya oculta|sobrevalorada,285
res_0157,usr_0587,ser_2853,Reseña número 157. Romance que desafía las convenciones sociales de la época.,5,2022-02-06,clásico moderno|imprescindible|joya oculta,10
res_0158,usr_0336,ser_2967,Reseña número 158. Comedia que retrata la vida cotidiana con humor inteligente.,1,2023-12-19,decepcionante|joya oculta,34
res_0159,usr_0544,ser_1094,Reseña número 159. Romance que desafía las convenciones sociales de la época.,3,2024-03-10,recomendada|sobrevalorada,484
res_0160,usr_0211,ser_2484,Reseña número 160. Una saga familiar que recorre generaciones y secretos.,3,2023-08-13,apta para todos,481
res_0161,usr_0651,ser_0389,"Reseña número 161. En un mundo donde las reglas se rompen, surgen héroes inesperados.",10,2023-12-11,recomendada|apta para todos,353
res_0162,usr_0739,ser_2965,Reseña número 162. Acción sin tregua en una aventura llena de giros inesperados.,3,2024-09-26,recomendada|joya oculta|apta para todos,376
res_0163,usr_0764,ser_2688,Reseña número 163. Una historia épica que cambia el destino de los protagonistas para siempre.,7,2024-10-25,imprescindible,390
res_0164,usr_0126,ser_0615,"Reseña número 164. En un mundo donde las reglas se rompen, surgen héroes inesperados.",8,2025-04-08,decepcionante|joya oculta,76
res_0165,usr_0798,ser_0657,Reseña número 165. Una mirada profunda a la condición humana en tiempos difíciles.,4,2022-06-16,clásico moderno,199
res_0166,usr_0498,ser_2042,"Reseña número 166. Drama intenso sobre familia, lealtad y traición.",6,2022-01-05,sobrevalorada|joya oculta|decepcionante,482
res_0167,usr_0775,ser_1757,"Reseña número 167. En un mundo donde las reglas se rompen, surgen héroes inesperados.",7,2022-12-25,solo adultos|clásico moderno|recomendada,490
res_0168,usr_0268,ser_0377,Reseña número 168. Una mirada profunda a la condición humana en tiempos difíciles.,5,2022-12-24,solo adultos|imprescindible,73
res_0169,usr_0207,ser_1293,Reseña número 169. Romance que desafía las convenciones sociales de la época.,4,2024-09-30,decepcionante|apta para todos,51
res_0170,usr_0693,ser_1268,"Reseña número 170. Drama intenso sobre familia, lealtad y traición.",1,2023-06-02,recomendada,224
res_0171,usr_0609,ser_0977,Reseña número 171. Romance que desafía las convenciones sociales de la época.,5,2022-08-18,solo adultos|recomendada,316
res_0172,usr_0726,ser_2525,Reseña número 172. Misterio y suspenso se entrelazan en esta serie cautivadora.,3,2023-12-03,clásico moderno,290
res_0173,usr_0140,ser_2717,Reseña número 173. Comedia que retrata la vida cotidiana con humor inteligente.,4,2022-01-05,clásico moderno|decepcionante|solo adultos,434
res_0174,usr_0757,ser_2802,Reseña número 174. Investigación criminal que pone a prueba los límites de la justicia.,8,2024-10-09,sobrevalorada|solo adultos|decepcionante,343
res_0175,usr_0187,ser_2002,Reseña número 175. Una mirada profunda a la condición humana en tiempos difíciles.,8,2025-04-13,solo adultos|imprescindible,113
res_0176,usr_0534,ser_2956,"Reseña número 176. En un mundo donde las reglas se rompen, surgen héroes inesperados.",7,2022-05-27,decepcionante,43
res_0177,usr_0246,ser_1314,"Reseña número 177. En un mundo donde las reglas se rompen, surgen héroes inesperados.",2,2022-05-31,sobrevalorada,25
res_0178,usr_0110,ser_0121,Reseña número 178. Romance que desafía las convenciones sociales de la época.,6,2023-01-20,recomendada|imprescindible,444
res_0179,usr_0267,ser_1659,Reseña número 179. Una saga familiar que recorre generaciones y secretos.,5,2024-12-11,imprescindible|solo adultos,108
res_0180,usr_0143,ser_2988,"Reseña número 180. Drama intenso sobre familia, lealtad y traición.",3,2023-04-13,recomendada,285
res_0181,usr_0496,ser_1022,Reseña número 181. Investigación criminal que pone a prueba los límites de la justicia.,6,2024-08-29,joya oculta,106
res_0182,usr_0599,ser_0430,Reseña número 182. Una mirada profunda a la condición humana en tiempos difíciles.,8,2022-01-25,clásico moderno|joya oculta|sobrevalorada,490
res_0183,usr_0532,ser_0841,Reseña número 183. Romance que desafía las convenciones sociales de la época.,10,2022-12-14,sobrevalorada,486
res_0184,usr_0115,ser_1738,Reseña número 184. Investigación criminal que pone a prueba los límites de la justicia.,3,2022-10-15,recomendada|joya oculta,3
res_0185,usr_0633,ser_2442,Reseña número 185. Una mirada profunda a la condición humana en tiempos difíciles.,8,2022-05-19,imprescindible|joya oculta,118
res_0186,usr_0077,ser_1840,Reseña número 186. Investigación criminal que pone a prueba los límites de la justicia.,5,2023-07-07,sobrevalorada|joya oculta|recomendada,101
res_0187,usr_0455,ser_2614,Reseña número 187. Misterio y suspenso se entrelazan en esta serie cautivadora.,8,2023-04-19,imprescindible|recomendada|solo adultos,406
res_0188,usr_0214,ser_1825,Reseña número 188. Una historia épica que cambia el destino de los protagonistas para siempre.,5,2025-03-23,apta para todos|imprescindible,156
res_0189,usr_0376,ser_1283,Reseña número 189. Misterio y suspenso se entrelazan en esta serie cautivadora.,1,2024-06-19,recomendada|solo adultos,164
res_0190,usr_0239,ser_1459,Reseña número 190. Comedia que retrata la vida cotidiana con humor inteligente.,9,2024-11-28,sobrevalorada,469
